id,email_text,category,sentiment,priority,email_length,clean_text,tokens
1,I was charged for a service I never used. Please process a refund of $499 to my account.,Refund,Negative,Medium,18,i was charged for a service i never used please process a refund of to my account,"['i', 'was', 'charged', 'for', 'a', 'service', 'i', 'never', 'used', 'please', 'process', 'a', 'refund', 'of', 'to', 'my', 'account']"
2,My account shows incorrect subscription status. It shows free plan but I am on the premium plan.,Account,Neutral,High,17,my account shows incorrect subscription status it shows free plan but i am on the premium plan,"['my', 'account', 'shows', 'incorrect', 'subscription', 'status', 'it', 'shows', 'free', 'plan', 'but', 'i', 'am', 'on', 'the', 'premium', 'plan']"
3,"I was promised a callback within 24 hours on December 15, 2025 but no one called. This is unacceptable.",Complaint,Negative,High,19,i was promised a callback within hours on december but no one called this is unacceptable,"['i', 'was', 'promised', 'a', 'callback', 'within', 'hours', 'on', 'december', 'but', 'no', 'one', 'called', 'this', 'is', 'unacceptable']"
4,"I was charged a late fee of ₹10,000 even though my payment was submitted on time. Please waive this fee.",Billing,Negative,High,20,i was charged a late fee of even though my payment was submitted on time please waive this fee,"['i', 'was', 'charged', 'a', 'late', 'fee', 'of', 'even', 'though', 'my', 'payment', 'was', 'submitted', 'on', 'time', 'please', 'waive', 'this', 'fee']"
5,Video calls on your platform drop after exactly 10 minutes. This is affecting my work meetings.,Technical,Neutral,High,16,video calls on your platform drop after exactly minutes this is affecting my work meetings,"['video', 'calls', 'on', 'your', 'platform', 'drop', 'after', 'exactly', 'minutes', 'this', 'is', 'affecting', 'my', 'work', 'meetings']"
6,What happens to my data if I decide to cancel my subscription? How long is data retained?,General Inquiry,Neutral,Medium,17,what happens to my data if i decide to cancel my subscription how long is data retained,"['what', 'happens', 'to', 'my', 'data', 'if', 'i', 'decide', 'to', 'cancel', 'my', 'subscription', 'how', 'long', 'is', 'data', 'retained']"
7,"The service was not delivered as promised. I am requesting a partial refund of ₹10,000.",Refund,Neutral,High,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']"
8,What is the process for requesting a custom feature or reporting a product bug to your team?,General Inquiry,Neutral,Medium,17,what is the process for requesting a custom feature or reporting a product bug to your team,"['what', 'is', 'the', 'process', 'for', 'requesting', 'a', 'custom', 'feature', 'or', 'reporting', 'a', 'product', 'bug', 'to', 'your', 'team']"
9,I want to enable two-factor authentication on my account but the option is not available.,Account,Neutral,High,15,i want to enable two factor authentication on my account but the option is not available,"['i', 'want', 'to', 'enable', 'two', 'factor', 'authentication', 'on', 'my', 'account', 'but', 'the', 'option', 'is', 'not', 'available']"
10,"I have not received my refund of ₹499 that was approved on March 3, 2026. Please provide an update.",Billing,Negative,High,19,i have not received my refund of that was approved on march please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'march', 'please', 'provide', 'an', 'update']"
11,"My credit card ending in 1234 was charged ₹10,000 but I never received a confirmation email.",Billing,Neutral,High,16,my credit card ending in was charged but i never received a confirmation email,"['my', 'credit', 'card', 'ending', 'in', 'was', 'charged', 'but', 'i', 'never', 'received', 'a', 'confirmation', 'email']"
12,I need to update my mobile number linked to my account from +91-7654321098 to +91-8877665544.,Account,Negative,Critical,15,i need to update my mobile number linked to my account from to,"['i', 'need', 'to', 'update', 'my', 'mobile', 'number', 'linked', 'to', 'my', 'account', 'from', 'to']"
13,I cannot access my account after I changed my phone number. The OTP is going to the old number.,Account,Neutral,High,19,i cannot access my account after i changed my phone number the otp is going to the old number,"['i', 'can', 'not', 'access', 'my', 'account', 'after', 'i', 'changed', 'my', 'phone', 'number', 'the', 'otp', 'is', 'going', 'to', 'the', 'old', 'number']"
14,My credit card ending in 5678 was charged $299 but I never received a confirmation email.,Billing,Neutral,Medium,16,my credit card ending in was charged but i never received a confirmation email,"['my', 'credit', 'card', 'ending', 'in', 'was', 'charged', 'but', 'i', 'never', 'received', 'a', 'confirmation', 'email']"
15,I am unable to change my username. The option is greyed out in account settings.,Account,Neutral,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']"
16,The video tutorials on your website are outdated and do not reflect the current version of the software.,Feedback,Positive,Low,18,the video tutorials on your website are outdated and do not reflect the current version of the software,"['the', 'video', 'tutorials', 'on', 'your', 'website', 'are', 'outdated', 'and', 'do', 'not', 'reflect', 'the', 'current', 'version', 'of', 'the', 'software']"
17,What happens to my data if I decide to cancel my subscription? How long is data retained?,General Inquiry,Positive,Low,17,what happens to my data if i decide to cancel my subscription how long is data retained,"['what', 'happens', 'to', 'my', 'data', 'if', 'i', 'decide', 'to', 'cancel', 'my', 'subscription', 'how', 'long', 'is', 'data', 'retained']"
18,The mobile app is draining my battery too fast. It consumes 30% battery in just 2 hours.,Technical,Neutral,High,17,the mobile app is draining my battery too fast it consumes battery in just hours,"['the', 'mobile', 'app', 'is', 'draining', 'my', 'battery', 'too', 'fast', 'it', 'consumes', 'battery', 'in', 'just', 'hours']"
19,What are your support hours and what is the average response time for technical issues?,General Inquiry,Positive,Low,15,what are your support hours and what is the average response time for technical issues,"['what', 'are', 'your', 'support', 'hours', 'and', 'what', 'is', 'the', 'average', 'response', 'time', 'for', 'technical', 'issues']"
20,"I want to request a full refund for my order #ORD-66123 placed on April 18, 2026. The product was defective.",Refund,Negative,High,20,i want to request a full refund for my order ord placed on april the product was defective,"['i', 'want', 'to', 'request', 'a', 'full', 'refund', 'for', 'my', 'order', 'ord', 'placed', 'on', 'april', 'the', 'product', 'was', 'defective']"
21,My payment of $299 was deducted but the order was not confirmed. Please check and resolve this issue.,Billing,Negative,Medium,18,my payment of was deducted but the order was not confirmed please check and resolve this issue,"['my', 'payment', 'of', 'was', 'deducted', 'but', 'the', 'order', 'was', 'not', 'confirmed', 'please', 'check', 'and', 'resolve', 'this', 'issue']"
22,"I was promised a callback within 24 hours on November 20, 2025 but no one called. This is unacceptable.",Complaint,Neutral,High,19,i was promised a callback within hours on november but no one called this is unacceptable,"['i', 'was', 'promised', 'a', 'callback', 'within', 'hours', 'on', 'november', 'but', 'no', 'one', 'called', 'this', 'is', 'unacceptable']"
23,Can you confirm if your service is available in Singapore and if pricing is in local currency?,General Inquiry,Neutral,Medium,17,can you confirm if your service is available in singapore and if pricing is in local currency,"['can', 'you', 'confirm', 'if', 'your', 'service', 'is', 'available', 'in', 'singapore', 'and', 'if', 'pricing', 'is', 'in', 'local', 'currency']"
24,I cannot integrate your service with Slack. The API key authentication is failing.,Technical,Negative,High,13,i cannot integrate your service with slack the api key authentication is failing,"['i', 'can', 'not', 'integrate', 'your', 'service', 'with', 'slack', 'the', 'api', 'key', 'authentication', 'is', 'failing']"
25,My profile picture is not updating despite uploading multiple times. The old photo keeps showing.,Account,Negative,Critical,15,my profile picture is not updating despite uploading multiple times the old photo keeps showing,"['my', 'profile', 'picture', 'is', 'not', 'updating', 'despite', 'uploading', 'multiple', 'times', 'the', 'old', 'photo', 'keeps', 'showing']"
26,The calendar sync with Google Calendar is not reflecting the correct time zone.,Technical,Negative,Critical,13,the calendar sync with google calendar is not reflecting the correct time zone,"['the', 'calendar', 'sync', 'with', 'google', 'calendar', 'is', 'not', 'reflecting', 'the', 'correct', 'time', 'zone']"
27,"I have not received my refund of $299 that was approved on January 5, 2026. Please provide an update.",Billing,Negative,High,19,i have not received my refund of that was approved on january please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'january', 'please', 'provide', 'an', 'update']"
28,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Negative,Medium,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']"
29,I have been experiencing frequent session timeouts every 30 minutes even while actively using the app.,Technical,Neutral,High,16,i have been experiencing frequent session timeouts every minutes even while actively using the app,"['i', 'have', 'been', 'experiencing', 'frequent', 'session', 'timeouts', 'every', 'minutes', 'even', 'while', 'actively', 'using', 'the', 'app']"
30,I am unable to export my data in CSV format. The export button does not respond when clicked.,Technical,Negative,High,18,i am unable to export my data in csv format the export button does not respond when clicked,"['i', 'am', 'unable', 'to', 'export', 'my', 'data', 'in', 'csv', 'format', 'the', 'export', 'button', 'does', 'not', 'respond', 'when', 'clicked']"
31,"I was overcharged by ₹10,000 on my last order. Please refund the excess amount to my card.",Refund,Negative,High,17,i was overcharged by on my last order please refund the excess amount to my card,"['i', 'was', 'overcharged', 'by', 'on', 'my', 'last', 'order', 'please', 'refund', 'the', 'excess', 'amount', 'to', 'my', 'card']"
32,"The payment gateway shows my transaction of ₹5,000 as pending for the last 21 days. Please resolve.",Billing,Negative,High,17,the payment gateway shows my transaction of as pending for the last days please resolve,"['the', 'payment', 'gateway', 'shows', 'my', 'transaction', 'of', 'as', 'pending', 'for', 'the', 'last', 'days', 'please', 'resolve']"
33,"The service was not delivered as promised. I am requesting a partial refund of ₹5,000.",Refund,Neutral,Medium,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']"
34,"Please update my billing address on my account. My new address is 123 MG Road, Bangalore, KA 560001.",Billing,Neutral,Medium,18,please update my billing address on my account my new address is mg road bangalore ka,"['please', 'update', 'my', 'billing', 'address', 'on', 'my', 'account', 'my', 'new', 'address', 'is', 'mg', 'road', 'bangalore', 'ka']"
35,The service was not delivered as promised. I am requesting a partial refund of ₹999.,Refund,Neutral,Medium,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']"
36,"The search functionality is broken. When I search for settings, no results are displayed.",Technical,Negative,High,14,the search functionality is broken when i search for settings no results are displayed,"['the', 'search', 'functionality', 'is', 'broken', 'when', 'i', 'search', 'for', 'settings', 'no', 'results', 'are', 'displayed']"
37,"I was promised a callback within 24 hours on November 20, 2025 but no one called. This is unacceptable.",Complaint,Neutral,High,19,i was promised a callback within hours on november but no one called this is unacceptable,"['i', 'was', 'promised', 'a', 'callback', 'within', 'hours', 'on', 'november', 'but', 'no', 'one', 'called', 'this', 'is', 'unacceptable']"
