id,email_text,category,sentiment,priority,email_length,clean_text,tokens,tokens_no_stopwords,lemmatized_tokens
1,I was charged for a service I never used. Please process a refund of $499 to my account.,Refund,Negative,Medium,18,i was charged for a service i never used please process a refund of to my account,"['i', 'was', 'charged', 'for', 'a', 'service', 'i', 'never', 'used', 'please', 'process', 'a', 'refund', 'of', 'to', 'my', 'account']","['charged', 'service', 'never', 'used', 'please', 'process', 'refund', 'account']","['charged', 'service', 'never', 'used', 'please', 'process', 'refund', 'account']"
2,My account shows incorrect subscription status. It shows free plan but I am on the premium plan.,Account,Neutral,High,17,my account shows incorrect subscription status it shows free plan but i am on the premium plan,"['my', 'account', 'shows', 'incorrect', 'subscription', 'status', 'it', 'shows', 'free', 'plan', 'but', 'i', 'am', 'on', 'the', 'premium', 'plan']","['account', 'shows', 'incorrect', 'subscription', 'status', 'shows', 'free', 'plan', 'premium', 'plan']","['account', 'show', 'incorrect', 'subscription', 'status', 'show', 'free', 'plan', 'premium', 'plan']"
3,"I was promised a callback within 24 hours on December 15, 2025 but no one called. This is unacceptable.",Complaint,Negative,High,19,i was promised a callback within hours on december but no one called this is unacceptable,"['i', 'was', 'promised', 'a', 'callback', 'within', 'hours', 'on', 'december', 'but', 'no', 'one', 'called', 'this', 'is', 'unacceptable']","['promised', 'callback', 'within', 'hours', 'december', 'one', 'called', 'unacceptable']","['promised', 'callback', 'within', 'hour', 'december', 'one', 'called', 'unacceptable']"
4,"I was charged a late fee of ₹10,000 even though my payment was submitted on time. Please waive this fee.",Billing,Negative,High,20,i was charged a late fee of even though my payment was submitted on time please waive this fee,"['i', 'was', 'charged', 'a', 'late', 'fee', 'of', 'even', 'though', 'my', 'payment', 'was', 'submitted', 'on', 'time', 'please', 'waive', 'this', 'fee']","['charged', 'late', 'fee', 'even', 'though', 'payment', 'submitted', 'time', 'please', 'waive', 'fee']","['charged', 'late', 'fee', 'even', 'though', 'payment', 'submitted', 'time', 'please', 'waive', 'fee']"
5,Video calls on your platform drop after exactly 10 minutes. This is affecting my work meetings.,Technical,Neutral,High,16,video calls on your platform drop after exactly minutes this is affecting my work meetings,"['video', 'calls', 'on', 'your', 'platform', 'drop', 'after', 'exactly', 'minutes', 'this', 'is', 'affecting', 'my', 'work', 'meetings']","['video', 'calls', 'platform', 'drop', 'exactly', 'minutes', 'affecting', 'work', 'meetings']","['video', 'call', 'platform', 'drop', 'exactly', 'minute', 'affecting', 'work', 'meeting']"
6,What happens to my data if I decide to cancel my subscription? How long is data retained?,General Inquiry,Neutral,Medium,17,what happens to my data if i decide to cancel my subscription how long is data retained,"['what', 'happens', 'to', 'my', 'data', 'if', 'i', 'decide', 'to', 'cancel', 'my', 'subscription', 'how', 'long', 'is', 'data', 'retained']","['happens', 'data', 'decide', 'cancel', 'subscription', 'long', 'data', 'retained']","['happens', 'data', 'decide', 'cancel', 'subscription', 'long', 'data', 'retained']"
7,"The service was not delivered as promised. I am requesting a partial refund of ₹10,000.",Refund,Neutral,High,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']"
8,What is the process for requesting a custom feature or reporting a product bug to your team?,General Inquiry,Neutral,Medium,17,what is the process for requesting a custom feature or reporting a product bug to your team,"['what', 'is', 'the', 'process', 'for', 'requesting', 'a', 'custom', 'feature', 'or', 'reporting', 'a', 'product', 'bug', 'to', 'your', 'team']","['process', 'requesting', 'custom', 'feature', 'reporting', 'product', 'bug', 'team']","['process', 'requesting', 'custom', 'feature', 'reporting', 'product', 'bug', 'team']"
9,I want to enable two-factor authentication on my account but the option is not available.,Account,Neutral,High,15,i want to enable two factor authentication on my account but the option is not available,"['i', 'want', 'to', 'enable', 'two', 'factor', 'authentication', 'on', 'my', 'account', 'but', 'the', 'option', 'is', 'not', 'available']","['want', 'enable', 'two', 'factor', 'authentication', 'account', 'option', 'available']","['want', 'enable', 'two', 'factor', 'authentication', 'account', 'option', 'available']"
10,"I have not received my refund of ₹499 that was approved on March 3, 2026. Please provide an update.",Billing,Negative,High,19,i have not received my refund of that was approved on march please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'march', 'please', 'provide', 'an', 'update']","['received', 'refund', 'approved', 'march', 'please', 'provide', 'update']","['received', 'refund', 'approved', 'march', 'please', 'provide', 'update']"
