contract_text,supplier,product,quantity,price,delivery_date,payment_terms
"
    Supplier: National Plastics

    Product: Plastic Granules

    Quantity: 2017 Tons

    Price: ₹42806/Ton

    Delivery Date: 8 October 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 2017 Tons of Plastic Granules
    at ₹42806 per Ton.

    Delivery shall be completed by 8 October 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Plastic Granules,2017 Tons,42806,8 October 2026,Payment After Delivery
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 446 Tons

    Price: ₹28742/Ton

    Delivery Date: 14 February 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 446 Tons of Plastic Granules
    at ₹28742 per Ton.

    Delivery shall be completed by 14 February 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Plastic Granules,446 Tons,28742,14 February 2026,50% Advance
"
    Supplier: National Plastics

    Product: Industrial Solvent

    Quantity: 3533 Tons

    Price: ₹18526/Ton

    Delivery Date: 12 March 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 3533 Tons of Industrial Solvent
    at ₹18526 per Ton.

    Delivery shall be completed by 12 March 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Industrial Solvent,3533 Tons,18526,12 March 2026,50% Advance
"
    Supplier: Bharat Steel Ltd

    Product: Iron Rods

    Quantity: 9587 Tons

    Price: ₹37725/Ton

    Delivery Date: 3 August 2026

    Payment Terms: Payment After Delivery

    Bharat Steel Ltd agrees to supply 9587 Tons of Iron Rods
    at ₹37725 per Ton.

    Delivery shall be completed by 3 August 2026.

    Payment Terms: Payment After Delivery.
    ",Bharat Steel Ltd,Iron Rods,9587 Tons,37725,3 August 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 2758 Tons

    Price: ₹26367/Ton

    Delivery Date: 25 February 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 2758 Tons of Plastic Granules
    at ₹26367 per Ton.

    Delivery shall be completed by 25 February 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Plastic Granules,2758 Tons,26367,25 February 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 5824 Tons

    Price: ₹8968/Ton

    Delivery Date: 14 April 2026

    Payment Terms: Net 30 Days

    Global Minerals agrees to supply 5824 Tons of Plastic Granules
    at ₹8968 per Ton.

    Delivery shall be completed by 14 April 2026.

    Payment Terms: Net 30 Days.
    ",Global Minerals,Plastic Granules,5824 Tons,8968,14 April 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Fertilizer

    Quantity: 962 Tons

    Price: ₹5912/Ton

    Delivery Date: 16 March 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 962 Tons of Fertilizer
    at ₹5912 per Ton.

    Delivery shall be completed by 16 March 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Fertilizer,962 Tons,5912,16 March 2026,Payment After Delivery
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 7849 Tons

    Price: ₹3334/Ton

    Delivery Date: 2 September 2026

    Payment Terms: 50% Advance

    Green Agro Pvt Ltd agrees to supply 7849 Tons of Industrial Solvent
    at ₹3334 per Ton.

    Delivery shall be completed by 2 September 2026.

    Payment Terms: 50% Advance.
    ",Green Agro Pvt Ltd,Industrial Solvent,7849 Tons,3334,2 September 2026,50% Advance
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 4593 Tons

    Price: ₹38173/Ton

    Delivery Date: 9 October 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 4593 Tons of Iron Rods
    at ₹38173 per Ton.

    Delivery shall be completed by 9 October 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Iron Rods,4593 Tons,38173,9 October 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Fertilizer

    Quantity: 4013 Tons

    Price: ₹29220/Ton

    Delivery Date: 13 January 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 4013 Tons of Fertilizer
    at ₹29220 per Ton.

    Delivery shall be completed by 13 January 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Fertilizer,4013 Tons,29220,13 January 2026,50% Advance
